instance        n     m       omega_lb source_omega_lb                  omega_ub source_omega_ub     chi_lb source_chi_lb                                                                                                chi_ub source_chi_ub
1-FullIns_3     30    100     3        \cite{Gualandi2012}              3        \cite{Gualandi2012} 4      \cite{Gualandi2012}                                                                                          4      \cite{Gualandi2012}
1-FullIns_4     93    593     3        \cite{Malaguti2011}              NA       NA                  5      \cite{Mendez-Diaz2006}                                                                                       5      \cite{Mendez-Diaz2006,Malaguti2011,Gualandi2012,Brelaz1979,Sewell1996,Segundo2012}
1-FullIns_5     282   3247    3        \cite{Malaguti2011}              NA       NA                  6      \cite{Malaguti2010}                                                                                          6      \cite{Malaguti2010,Mendez-Diaz2006,Malaguti2011,Gualandi2012,Brelaz1979,Sewell1996,Segundo2012}
1-Insertions_4  67    232     2        \cite{Malaguti2011,Gualandi2012} 2        \cite{Gualandi2012} 5      \cite{Mendez-Diaz2006,Malaguti2011,Gualandi2012}                                                             5      \cite{Mendez-Diaz2006,Malaguti2011,Gualandi2012,Brelaz1979,Sewell1996,Segundo2012}
1-Insertions_5  202   1227    2        \cite{Malaguti2011}              NA       NA                  6      \cite{Malaguti2010}                                                                                          6      \cite{Mendez-Diaz2006,Malaguti2011,Gualandi2012,Brelaz1979,Sewell1996,Segundo2012}
1-Insertions_6  607   6337    2        \cite{Malaguti2011,Held2011}     NA       NA                  7      \cite{Malaguti2010}                                                                                          7      \cite{Mendez-Diaz2006,Malaguti2011,Gualandi2012}
2-FullIns_3     52    201     4        \cite{Malaguti2011,Gualandi2012} 4        \cite{Gualandi2012} 5      \cite{Mendez-Diaz2006,Malaguti2011,Gualandi2012}                                                             5      \cite{Mendez-Diaz2006,Malaguti2011,Gualandi2012,Brelaz1979,Sewell1996,Segundo2012}
2-FullIns_4     212   1621    4        \cite{us}                        NA       NA                  6      \cite{Malaguti2010}                                                                                          6      \cite{Malaguti2010,Mendez-Diaz2006,Malaguti2011,Gualandi2012,Brelaz1979,Sewell1996,Segundo2012}
2-FullIns_5     852   12201   4        \cite{us}                        NA       NA                  7      \cite{Malaguti2010,Mendez-Diaz2006}                                                                          7      \cite{Malaguti2010,Mendez-Diaz2006,Gualandi2012,Brelaz1979,Sewell1996,Segundo2012}
2-Insertions_3  37    72      2        \cite{Malaguti2011}              2        \cite{Gualandi2012} 4      \cite{Caramia,Gualandi2012}                                                                                  4      \cite{Caramia,Gualandi2012}
2-Insertions_4  149   541     2        \cite{Malaguti2011}              NA       NA                  5      \cite{Malaguti2010}                                                                                          5      \cite{Malaguti2010}
2-Insertions_5  597   3936    2        \cite{Malaguti2011}              NA       NA                  6      \cite{Malaguti2010}                                                                                          6      \cite{Malaguti2010}
