instance       k   desr_n desr_m desr_t desr_crit desr_sure sun_n sun_m sun_t   sun_crit
myciel3        4   11     20     0.1    1         1         NA    NA    NA      NA
myciel4        5   23     71     0.1    1         1         NA    NA    NA      NA
myciel5        6   47     236    0.2    1         1         47    236   0       0
myciel6        7   95     755    0.4    1         0         95    755   0.01    0
myciel7        8   191    2630   61.3   1         0         191   2360  11.46   0
mug88_1        4   88     146    0.1    1         1         88    146   0.03    0
mug88_25       4   88     146    0.1    1         1         88    146   0.02    0
mug100_1       4   100    166    0.1    1         1         100   166   0.03    0
mug100_25      4   100    166    0.1    1         1         100   166   0.03    0
1-Insertions_4 5   67     232    0.1    1         1         67    232   0.3     0
1-Insertions_5 6   202    1227   0.1    1         0         202   1227  0.23    0
1-Insertions_6 7   607    6337   99.7   1         0         607   6337  390.24  0
2-Insertions_3 4   37     72     0.1    1         1         NA    NA    NA      0
2-Insertions_4 5   149    541    0.3    1         0         149   541   0.04    0
2-Insertions_5 6   597    3936   16.0   1         0         597   3936  14.67   0
3-Insertions_3 4   56     110    0.4    1         1         56    110   0.02    0
3-Insertions_4 5   281    1046   0.8    1         0         281   1046  0.58    0
3-Insertions_5 6   1406   9695   541.8  1         0         1406  96957 1580.37 0
4-Insertions_3 4   79     156    0.6    1         0         79    256   0.02    0
4-Insertions_4 5   475    1795   1.5    1         0         475   1795  0.95    0
fpsol2.i.1     65  65     208    209.9  1         1         65    2080  21.93   0
fpsol2.i.2     30  30     435    20.0   1         1         30    435   3.33    0
fpsol2.i.3     30  30     435    52.5   1         1         30    435   4.34    0
inithx.i.1     54  54     1431   897.7  1         1         54    1431  38.13   0
inithx.i.2     31  31     465    10.2   1         1         31    465   0.99    0
inithx.i.3     31  31     465    14.2   1         1         31    465   1.9     0
mulsol.i.1     49  49     1176   4.4    1         1         49    1176  0.47    0
mulsol.i.2     31  31     465    6.4    1         1         31    465   0.5     0
mulsol.i.3     31  31     465    6.5    1         1         31    465   0.47    0
mulsol.i.4     31  31     465    6.8    1         1         31    465   0.37    0
mulsol.i.5     31  31     465    6.9    1         1         31    465   1.86    0
zeroin.i.1     49  49     1176   12.3   1         1         49    1176  0.45    0
zeroin.i.2     30  30     435    11.4   1         1         30    435   1.69    0
zeroin.i.3     30  30     435    5.6    1         1         30    435   1.68    0
le450_5a       5   5      10     10.7   1         1         5     10    2.24    0
le450_5b       5   5      10     13.4   1         1         5     10    2.48    0
le450_5c       5   5      10     17.8   1         1         5     10    2.33    0
le450_5d       5   5      10     16.7   1         1         5     10    3.67    0
le450_15a      15  15     105    10.8   1         1         15    105   1.39    0
le450_15b      15  15     105    6.0    1         1         15    105   1.4     0
le450_15c      15  15     105    44.5   1         1         15    105   6.8     0
le450_15d      15  15     105    29.3   1         1         15    105   5.39    0
le450_25a      25  25     300    14.4   1         1         25    300   3.34    0
le450_25b      25  25     300    13.2   1         1         25    300   3.14    0
le450_25c      25  25     300    18.2   1         1         25    300   4.07    0
le450_25d      25  25     300    17.9   1         1         25    300   6.65    0
school1        14  14     91     12.5   1         1         14    91    1.94    0
school1_nsh    14  14     91     30.2   1         1         14    91    1.19    0
anna           11  11     55     0.3    1         1         11    55    0.07    0
david          11  11     55     0.3    1         1         11    55    0.04    0
