       instance    k  n_red    m_red      n        m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit    R  reltg_size  do_heu    ss  ss_gen_1st  ss_fin_1st  chroma_k_early  chroma_k  crit_early  crit   edges         time     time_pp  time_confirm_crit    time_color  iter      ttb   itb  max_iter_diff  ss_fin_avg  ss_gen_avg  ss_gen_best  num_size_att  heu_mistakes  num_pp  avg_pp_reduced  avg_pp_skipped  calls_to_coloring  num_gen_subsets  infeas  clique_start  color_not_ok  seed
    1-FullIns_3    4     30      100     30      100            0.5                1                1               1800  200        1.08       1     7          30           8               1         1           1     1      12         1800     32.5841          1.647e-06       46.3969  1862   3.8803     1              1   0.0314733   0.0356092            7          3725             0    1861        0.919936         4.82751             419686           413938       0             3             0     1
    1-FullIns_3    4     30      100     30      100            0.5                1                1               1800  200        1.08       1     7          30           8               1         1           1     1      12         1800     32.0672          1.337e-06       46.1511  1847  3.80502     1              1   0.0313653   0.0353773            7          3695             0    1846         0.89545         4.85482             417622           412016       0             3             0     2
    1-FullIns_3    4     30      100     30      100            0.5                1                1               1800  200        1.08       1     7          30           8               1         1           1     1      12         1800     32.2336           6.11e-07       46.2962  1853  3.80724     1              1   0.0312864   0.0352754            7          3707             0    1852        0.892549         4.81911             420082           414397       0             3             0     3
    1-FullIns_3    4     30      100     30      100            0.5                1                1               1800  200        1.08       1     7          30           8               1         1           1     1      12         1800     32.1829           5.62e-07       46.4482  1857  3.79078     1              1   0.0313936   0.0354625            7          3715             0    1856        0.907328         4.85453             419533           413874       0             3             0     4
    1-FullIns_3    4     30      100     30      100            0.5                1                1               1800  200        1.08       1     7          30           7               1         1           1     1      12         1800     32.2706           9.77e-07       46.7235  1860  3.87586     1              1   0.0314388   0.0354852            7          3720             0    1859        0.901022         4.84239             419626           413947       0             3             0     5
    1-FullIns_3    4     30      100     30      100            0.5                1                1               1800  200        1.08       1     7          30           7               1         1           1     1      12         1800     32.3212           1.82e-06       46.5583  1867   3.8707     1              1   0.0314963   0.0355783            7          3734             0    1866        0.907288         4.84887             420447           414747       0             3             0     6
    1-FullIns_3    4     30      100     30      100            0.5                1                1               1800  200        1.08       1     7          30           7               1         1           1     1      12         1800     32.1592           4.12e-07       46.5742  1861  4.01693     1              1   0.0314584    0.035462            7          3723             0    1860         0.89086         4.84946             419530           413880       0             3             0     7
    1-FullIns_3    4     30      100     30      100            0.5                1                1               1800  200        1.08       1     7          30           8               1         1           1     1      12         1800     32.4118           2.56e-07       46.4585  1854  3.80578     1              1   0.0314628   0.0355208            7          3710             0    1853         0.90286         4.83055             417951           412265       0             3             0     8
    1-FullIns_3    4     30      100     30      100            0.5                1                1               1800  200        1.08       1     7          30           8               1         1           1     1      12         1800     32.1747          1.187e-06       46.0309  1883  3.72734     1              1   0.0314015   0.0354533            7          3767             0    1882        0.903294         4.85282             425300           419566       0             3             0     9
    1-FullIns_3    4     30      100     30      100            0.5                1                1               1800  200        1.08       1     7          30           7               1         1           1     1      12         1800     32.3817           8.06e-07       46.2312  1885   4.5921     1              1   0.0314874   0.0355746            7          3770             0    1884        0.908705         4.84289             424635           418866       0             3             0    10
    1-FullIns_4    5     93      593     93      593            0.5                1                1               1800  200        1.08       1    15          93          21               1         1           1     1      43         1800     79.0339           2.83e-07       63.5571  1497  6.51923     1              1   0.0413026   0.0572926           19          2583             0    1080         5.80926         4.96019             409474           392372       0             3             0     1
    1-FullIns_4    5     93      593     93      593            0.5                1                1               1800  200        1.08       1    15          93          21               1         1           1     1      43         1800     79.4818           2.04e-07       62.7141  1489  7.14883     1              1   0.0414301   0.0575951           19          2588             0    1092          5.8544         4.96612             412820           395485       0             3             0     2
    1-FullIns_4    5     93      593     93      593            0.5                1                1               1800  200        1.08       1    15          93          21               1         1           1     1      43         1800     86.5026          1.199e-06       62.7649  1460  6.71352     1              1   0.0448533   0.0627175           19          2646             0    1180         5.97627         4.93644             413666           394754       0             3             0     3
    1-FullIns_4    5     93      593     93      593            0.5                1                1               1800  200        1.08       1    15          93          22               1         1           1     1      43         1800     81.4249           5.94e-07       62.3665  1520  5.91839     1              1   0.0423871   0.0589803           19          2656             0    1128         5.87411         4.94415             417274           399320       0             3             0     4
    1-FullIns_4    5     93      593     93      593            0.5                1                1               1800  200        1.08       1    15          93          22               1         1           1     1      43         1800     81.9159           4.72e-07       63.1527  1501  5.95732     1              1   0.0427127   0.0594435           19          2645             0    1136         5.87764         4.96655             417145           399085       0             3             0     5
    1-FullIns_4    5     93      593     93      593            0.5                1                1               1800  200        1.08       1    15          93          22               1         1           1     1      43         1800     98.6881           2.67e-07        63.029  1421  5.83098     1              1   0.0510157   0.0719507           20          2773             0    1345         6.15762         4.94572             417394           395604       0             3             0     6
    1-FullIns_4    5     93      593     93      593            0.5                1                1               1800  200        1.08       1    15          93          20               1         1           1     1      43         1800     86.9971          1.042e-06       62.8973  1494  6.79628     1              1   0.0451159   0.0631939           19          2696             0    1197         6.01253         4.96742             417299           398108       0             3             0     7
    1-FullIns_4    5     93      593     93      593            0.5                1                1               1800  200        1.08       1    15          93          22               1         1           1     1      43         1800     84.4331          1.491e-06       62.6441  1486  7.71691     1              1   0.0438892   0.0612645           19          2651             0    1158         5.94041         4.96891             414386           395906       0             3             0     8
    1-FullIns_4    5     93      593     93      593            0.5                1                1               1800  200        1.08       1    15          93          20               1         1           1     1      43         1800     88.3819           5.11e-07       62.7069  1463  6.69391     1              1   0.0457609   0.0640743           19          2679             0    1211         6.00495         4.92816             416540           397086       0             3             0     9
    1-FullIns_4    5     93      593     93      593            0.5                1                1               1800  200        1.08       1    15          93          20               1         1           1     1      43         1800     79.2214           3.79e-07       62.2385  1509  7.23658     1              1   0.0413177   0.0573511           19          2615             0    1101         5.82289         4.95095             417313           399853       0             3             0    10
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1               1800  200        1.08       1    31         282          58               1         1           1     1     144         1800     407.801           9.21e-07       288.724  1165  9.55389     1              1    0.109296    0.210314           57          2339             0    1164         28.6753         5.05842             393958           330415       0             3             0     1
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1               1800  200        1.08       1    31         282          59               1         1           1     1     144         1800     407.503           6.04e-07       288.144  1169  10.4797     1              1    0.108856    0.209378           57          2350             0    1168         28.6336         5.09589             396393           332705       0             3             0     2
