
       instance   k  n_red   m_red     n       m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit    R  reltg_size  do_heu   ss  ss_gen_1st  ss_fin_1st  chroma_k_early  chroma_k  crit_early  crit  edges     time  time_pp  time_confirm_crit  time_color  iter      ttb  itb  max_iter_diff  ss_fin_avg  ss_gen_avg  ss_gen_best  num_size_att  heu_mistakes  num_pp  avg_pp_reduced  avg_pp_skipped  calls_to_coloring  num_gen_subsets  infeas  clique_start  color_not_ok  seed
    4-FullIns_5   8   4146   77305  4146   77305            0.5                1                1               7200  200        1.08       1   27        4146          40               1         1           1     1    166  7201.09  140.001          1.136e-06     122.838  2731  14.4383    1              1   0.0719451    0.111379           39          4585             0    1847         15.2225         7.65566             778217           712988       0             6             0     1
    4-FullIns_5   8   4146   77305  4146   77305            0.5                1                1               7200  200        1.08       1   27        4146          44               1         1           1     1    166  7200.07  268.587           4.81e-07     386.003  2523   13.538    1              1   0.0866099    0.134779           40          4677             0    2143         15.5511         7.73122             768485           691849       0             6             0     2
    4-FullIns_5   8   4146   77305  4146   77305            0.5                1                1               7200  200        1.08       1   27        4146          46               1         1           1     1    166  7200.39  156.972        8.25999e-07     231.343  2616  14.5642    1              1   0.0771756    0.119688           39          4573             0    1944         15.3632          7.7037             771636           702528       0             6             0     3
    4-FullIns_5   8   4146   77305  4146   77305            0.5                1                1               7200  200        1.08       1   27        4146          52               1         1           1     1    166  7200.16  136.317            5.2e-07     122.454  2763  26.2859    3              2   0.0666048    0.103143           39          4499             0    1715         15.2023         7.72303             773862           713552       0             6             0     4
    4-FullIns_5   8   4146   77305  4146   77305            0.5                1                1               7200  200        1.08       1   27        4146          33               1         1           1     1    166  7200.07  18.6178          1.295e-06     104.422  3834  12.3915    1              1    0.010415   0.0138428           33          4147             0     308         8.89286         8.46104             807498           799043       0             6             0     5
    4-FullIns_5   8   4146   77305  4146   77305            0.5                1                1               7200  200        1.08       1   27        4146          47               1         1           1     1    166  7200.21  162.296            9.1e-07     127.302  2530  16.6935    1              1   0.0824139    0.128373           40          4587             0    2044         15.5494          7.6502             764685           691546       0             6             0     6
    4-FullIns_5   8   4146   77305  4146   77305            0.5                1                1               7200  200        1.08       1   27        4146          43               1         1           1     1    166  7200.06  147.803          1.186e-06     123.888  2608  13.1828    1              1   0.0763075    0.118475           39          4519             0    1901         15.3982         7.63651             761918           694191       0             6             0     7
    4-FullIns_5   8   4146   77305  4146   77305            0.5                1                1               7200  200        1.08       1   27        4146          40               1         1           1     1    166  7200.06  116.015           8.39e-07      118.69  2801  14.7336    1              1   0.0593665   0.0915465           39          4313             0    1504         15.0013         7.61436             753810           701119       0             6             0     8
    4-FullIns_5   8   4146   77305  4146   77305            0.5                1                1               7200  200        1.08       1   27        4146          44               1         1           1     1    166  7200.01  119.058           3.86e-07     128.864  3357   22.871    3              2   0.0660391    0.102142           39          5418             0    2050          15.158         7.55415             933130           860702       0             6             0     9
    4-FullIns_5   8   4146   77305  4146   77305            0.5                1                1               7200  200        1.08       1   27        4146          45               1         1           1     1    166     7200  102.989           5.86e-07     128.006  3378  13.7081    1              1   0.0649347    0.100416           39          5408             0    2018         15.1467          7.5887             932657           861466       0             6             0    10
     abb313GPIA   9   1552   53344  1557   53356            0.5                1                1               7200  200        1.08       1   22        1552          90               1         1           0     1    147     7200  6408.29          0.0351358     6629.38   410  266.341   32             27    0.081741    0.310608           90           837             0     409         68.7311        0.564792             160670           122827       0             8             0     1
     abb313GPIA   9   1552   53344  1557   53356            0.5                1                1               7200  200        1.08       1   25        1552         121               1         1           1     1    186     7200  6470.14        3.68001e-07     6690.54   380  36.3421    2              1   0.0833805    0.319311           94           779             0     379          69.343        0.572559             146673           111393       0             8             0     2
     abb313GPIA   9   1552   53344  1557   53356            0.5                1                1               7200  200        1.08       1   23        1552          79               1         1           1     1    163     7200  5173.69           2.76e-07     5452.99  2084  25.7985    7              3   0.0177983   0.0641864           79          2431             0     339         62.0442         1.26549             482009           453414       0             8             0     3
