
       instance   k  n_red  m_red    n     m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit    R  reltg_size  do_heu   ss  ss_gen_1st  ss_fin_1st  chroma_k_early  chroma_k  crit_early  crit  edges     time     time_pp  time_confirm_crit  time_color  iter      ttb   itb  max_iter_diff   ss_fin_avg   ss_gen_avg  ss_gen_best  num_size_att  heu_mistakes  num_pp  avg_pp_reduced  avg_pp_skipped  calls_to_coloring  num_gen_subsets  infeas  clique_start  color_not_ok  seed
 rand-50-0.05-1   4     41    103   50   120            0.5                1                1               1800  200        1.08       1    7          41           7               1         1           1     1     12     1800     34.1684          1.207e-06     45.6914  1959  3.72952     1              1    0.0337982    0.0337982            7          3919             0    1958               0         3.99796             411395           405524       0             3             0     1
 rand-50-0.05-1   4     41    103   50   120            0.5                1                1               1800  200        1.08       1    7          41           7               1         1           1     1     12     1800     34.1654           8.75e-07     44.9351  1973  3.77586     1              1    0.0337845    0.0337845            7          3947             0    1972               0         3.99797             414503           408590       0             3             0     2
 rand-50-0.05-1   4     41    103   50   120            0.5                1                1               1800  200        1.08       1    7          41           7               1         1           1     1     12     1800     34.1675           6.67e-07     45.5579  1976  3.83822     1              1    0.0337979    0.0337979            7          3953             0    1975               0         3.99797             414971           409049       0             3             0     3
 rand-50-0.05-1   4     41    103   50   120            0.5                1                1               1800  200        1.08       1    7          41           7               1         1           1     1     12     1800        34.2           2.66e-07     45.2444  1972  3.79793     1              1    0.0338231    0.0338231            7          3945             0    1971               0         3.99797             413827           407917       0             3             0     4
 rand-50-0.05-1   4     41    103   50   120            0.5                1                1               1800  200        1.08       1    7          41           7               1         1           1     1     12     1800     34.1586          1.219e-06      45.274  1972  3.82656     1              1    0.0337797    0.0337797            7          3945             0    1971               0         3.99797             414350           408440       0             3             0     5
 rand-50-0.05-1   4     41    103   50   120            0.5                1                1               1800  200        1.08       1    7          41           7               1         1           1     1     12     1800     34.2085          1.213e-06     45.4782  1961  3.77207     1              1    0.0338225    0.0338225            7          3923             0    1960               0         3.99796             411524           405647       0             3             0     6
 rand-50-0.05-1   4     41    103   50   120            0.5                1                1               1800  200        1.08       1    7          41           7               1         1           1     1     12     1800     34.1493           6.53e-07     45.2517  1972  3.78964     1              1    0.0337721    0.0337721            7          3945             0    1971               0         3.99797             414443           408533       0             3             0     7
 rand-50-0.05-1   4     41    103   50   120            0.5                1                1               1800  200        1.08       1    7          41           7               1         1           1     1     12     1800     34.1326           5.02e-07     45.0678  1971  3.86974     1              1     0.033756     0.033756            7          3943             0    1970               0         3.99797             414427           408520       0             3             0     8
 rand-50-0.05-1   4     41    103   50   120            0.5                1                1               1800  200        1.08       1    7          41           7               1         1           1     1     12     1800     34.2114          1.532e-06     45.0883  1995  3.75939     1              1    0.0338275    0.0338275            7          3991             0    1994               0         3.99799             418602           412623       0             3             0     9
 rand-50-0.05-1   4     41    103   50   120            0.5                1                1               1800  200        1.08       1    7          41           7               1         1           1     1     12     1800     34.1755          1.521e-06     45.7589  1991  3.77183     1              1    0.0337995    0.0337995            7          3983             0    1990               0         3.99799             418103           412136       0             3             0    10
 rand-50-0.05-2   4     46    112   50   119            0.5                1                1               1800  200        1.08       1   19          46          23               1         1           1     1     37     1800     147.385           3.81e-07     72.0162  1547  12.4248     4              3    0.0881181    0.0939268           21          3101             0    1546         1.40556          2.0912             405970           374089       0             3             0     1
 rand-50-0.05-2   4     46    112   50   119            0.5                1                1               1800  200        1.08       1   19          46          23               1         1           1     1     37     1800     147.973           4.47e-07     72.0867  1561  11.0176     3              1    0.0885182    0.0942797           21          3129             0    1560         1.39038         2.08013             408690           376465       0             3             0     2
 rand-50-0.05-2   4     46    112   50   119            0.5                1                1               1800  200        1.08       1   19          46          23               1         1           1     1     37     1800     148.729          1.864e-06     71.9357  1584   11.032     3              1    0.0889712    0.0948664           21          3176             0    1583         1.41314         2.09602             412118           379460       0             3             0     3
 rand-50-0.05-2   4     46    112   50   119            0.5                1                1               1800  200        1.08       1   19          46          23               1         1           1     1     37     1800     148.899          1.336e-06     71.6708  1574  27.4305    18             10    0.0893178    0.0950155           21          3156             0    1573         1.36427         2.10744             409094           376644       0             3             0     4
 rand-50-0.05-2   4     46    112   50   119            0.5                1                1               1800  200        1.08       1   19          46          23               1         1           1     1     37     1800     147.703           7.07e-07     71.8203  1579  9.27165     2              1    0.0884973    0.0941056           21          3165             0    1578         1.35425         2.08302             413588           381040       0             3             0     5
 rand-50-0.05-2   4     46    112   50   119            0.5                1                1               1800  200        1.08       1   19          46          23               1         1           1     1     37     1800     149.599            7.4e-07     73.4616  1584  17.9142    10              6    0.0894626    0.0952865           21          3175             0    1583         1.39103          2.0398             410887           378102       0             3             0     6
 rand-50-0.05-2   4     46    112   50   119            0.5                1                1               1800  200        1.08       1   19          46          23               1         1           1     1     37     1800     147.583          1.585e-06      71.669  1562  8.37782     1              1    0.0883699    0.0940882           21          3131             0    1561         1.38181          2.0993             409401           377210       0             3             0     7
 rand-50-0.05-2   4     46    112   50   119            0.5                1                1               1800  200        1.08       1   19          46          23               1         1           1     1     37     1800     148.796           6.99e-07     72.2065  1584  18.3529    10              6    0.0890099    0.0947313           21          3175             0    1583         1.37334         2.05306             412703           379980       0             3             0     8
 rand-50-0.05-2   4     46    112   50   119            0.5                1                1               1800  200        1.08       1   19          46          23               1         1           1     1     37     1800     147.075           5.14e-07     71.5701  1565  14.0186     6              5    0.0880312    0.0937174           21          3137             0    1564         1.37852         2.09463             411396           379161       0             3             0     9
 rand-50-0.05-2   4     46    112   50   119            0.5                1                1               1800  200        1.08       1   19          46          22               1         1           1     1     37     1800     148.308           4.37e-07     71.4071  1582  14.5121     7              5    0.0887952    0.0945775           21          3170             0    1581         1.38963         2.09298             412556           379953       0             3             0    10
 rand-50-0.05-3   4     47    113   50   117            0.5                1                1               1800  200        1.08       1   18          47          19               1         1           1     1     36     1800     110.103           1.71e-06     60.4175  1551  7.28837     1              1     0.071712     0.075097           18          3107             0    1550        0.849677         3.48323             412870           389070       0             3             0     1
 rand-50-0.05-3   4     47    113   50   117            0.5                1                1               1800  200        1.08       1   18          47          19               1         1           1     1     36     1800     111.342          1.401e-06     60.9318  1568   7.4929     1              1    0.0726369    0.0760723           18          3142             0    1567        0.851308          3.4984             412355           388315       0             3             0     2
 rand-50-0.05-3   4     47    113   50   117            0.5                1                1               1800  200        1.08       1   18          47          19               1         1           1     1     36     1800     111.311           5.03e-07      60.799  1553  7.53499     1              1     0.072341    0.0758548           18          3111             0    1552        0.874356         3.45747             410094           386185       0             3             0     3
 rand-50-0.05-3   4     47    113   50   117            0.5                1                1               1800  200        1.08       1   18          47          19               1         1           1     1     36     1800     111.972           4.91e-07     60.4581  1577  7.36639     1              1    0.0728514    0.0763696           18          3159             0    1576        0.869289         3.45939             413677           389409       0             3             0     4
 rand-50-0.05-3   4     47    113   50   117            0.5                1                1               1800  200        1.08       1   18          47          18               1         1           1     1     36     1800     111.045           3.37e-07      61.817  1551  6.90944     1              1     0.072356    0.0758257           18          3105             0    1550        0.863226         3.48581             409438           385621       0             3             0     5
 rand-50-0.05-3   4     47    113   50   117            0.5                1                1               1800  200        1.08       1   18          47          19               1         1           1     1     36     1800     110.228          1.623e-06     60.6107  1548  7.62233     1              1    0.0716368    0.0750606           18          3100             0    1547        0.860375         3.45572             412552           388739       0             3             0     6
 rand-50-0.05-3   4     47    113   50   117            0.5                1                1               1800  200        1.08       1   18          47          18               1         1           1     1     36     1800     111.524           7.04e-07     59.9604  1567  7.16416     1              1     0.072558      0.07602           18          3138             0    1566        0.858876         3.45275             412611           388503       0             3             0     7
 rand-50-0.05-3   4     47    113   50   117            0.5                1                1               1800  200        1.08       1   18          47          19               1         1           1     1     36     1800     110.997            8.2e-07     60.8177  1559  7.53872     1              1    0.0721859    0.0756452           18          3123             0    1558        0.862644         3.46534             412482           388511       0             3             0     8
 rand-50-0.05-3   4     47    113   50   117            0.5                1                1               1800  200        1.08       1   18          47          19               1         1           1     1     36     1800     111.478          1.472e-06     60.5135  1566   7.4796     1              1    0.0724904    0.0759926           18          3137             0    1565        0.869649         3.46134             412713           388617       0             3             0     9
 rand-50-0.05-3   4     47    113   50   117            0.5                1                1               1800  200        1.08       1   18          47          19               1         1           1     1     36     1800     111.617          1.219e-06     60.6988  1560  7.38092     1              1    0.0726781    0.0761768           18          3124             0    1559        0.866581         3.48044             410110           386141       0             3             0    10
