       instance    k      n        m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit  do_exact    ss  chroma_k_early  chroma_k  crit    edges  num_perturb  repl       time  time_confirm   time_color  calls_to_coloring  heu_mistakes  avg_perturb_str      ttb  itb  num_flips  num_bt  infeas  seed
    1-FullIns_3    4     30      100            0.5                1                1               1800         0     7               0         1     1       12          157     0       1800     0.0315959      1799.95               7332             0                1  13.0016    1       7036       0       0     1
    1-FullIns_3    4     30      100            0.5                1                1               1800         0     7               0         1     1       12          157     0       1800     0.0315521      1799.95               7332             0                1  13.0019    1       7036       0       0     2
    1-FullIns_3    4     30      100            0.5                1                1               1800         0     7               0         1     1       12          157     0       1800     0.0313327      1799.95               7332             0                1  13.0015    1       7036       0       0     3
    1-FullIns_3    4     30      100            0.5                1                1               1800         0     7               0         1     1       12          157     0       1800     0.0315313      1799.95               7332             0                1  13.0016    1       7036       0       0     4
    1-FullIns_3    4     30      100            0.5                1                1               1800         0     7               0         1     1       12          157     0       1800     0.0158493      1799.97               7332             0                1  13.0014    1       7036       0       0     5
    1-FullIns_3    4     30      100            0.5                1                1               1800         0     7               0         1     1       12          157     0       1800      0.023295      1799.96               7332             0                1  13.0018    1       7036       0       0     6
    1-FullIns_3    4     30      100            0.5                1                1               1800         0     7               0         1     1       12          157     0       1800     0.0246597      1799.96               7332             0                1  13.0013    1       7036       0       0     7
    1-FullIns_3    4     30      100            0.5                1                1               1800         0     7               0         1     1       12          157     0       1800     0.0227289      1799.96               7332             0                1  13.0014    1       7036       0       0     8
    1-FullIns_3    4     30      100            0.5                1                1               1800         0     7               0         1     1       12          157     0       1800     0.0158541      1799.97               7332             0                1  13.0018    1       7036       0       0     9
    1-FullIns_3    4     30      100            0.5                1                1               1800         0     7               0         1     1       12          157     0       1800     0.0234698      1799.96               7332             0                1  13.0014    1       7036       0       0    10
    1-FullIns_4    5     93      593            0.5                1                1               1800         0    15               0         1     1       43           60     0       1800     0.0411274      1799.89               7319             0          1.05085  44.5161    1       7380       0       0     1
    1-FullIns_4    5     93      593            0.5                1                1               1800         0    15               0         1     1       43           58     0       1800      0.038799      1799.89               7294             0          1.05263  44.5148    1       7265       0       0     2
    1-FullIns_4    5     93      593            0.5                1                1               1800         0    15               0         1     1       43           61     0       1800     0.0202712      1799.91               7318             0         0.866667  44.5146    1       7401       0       0     3
    1-FullIns_4    5     93      593            0.5                1                1               1800         0    15               0         1     1       43           60     0       1800     0.0218607      1799.91               7319             0          1.05085  44.5165    1       7452       0       0     4
    1-FullIns_4    5     93      593            0.5                1                1               1800         0    15               0         1     1       43           56     0       1800      0.034254      1799.89               7276             0          1.05455   44.518    1       7293       0       0     5
    1-FullIns_4    5     93      593            0.5                1                1               1800         0    15               0         1     1       43           59     0       1800     0.0343649       1799.9               7309             0          1.01724  44.5149    1       7328       0       0     6
    1-FullIns_4    5     93      593            0.5                1                1               1800         0    15               0         1     1       43           58     0       1800     0.0188563      1799.91               7296             0          1.10526  44.5152    1       7292       0       0     7
    1-FullIns_4    5     93      593            0.5                1                1               1800         0    15               0         1     1       43           56     0       1800     0.0200126      1799.91               7274             0          1.01818  44.5166    1       7239       0       0     8
    1-FullIns_4    5     93      593            0.5                1                1               1800         0    15               0         1     1       43           56     0       1800     0.0328012       1799.9               7270             0          1.09091  44.5149    1       7366       0       0     9
    1-FullIns_4    5     93      593            0.5                1                1               1800         0    15               0         1     1       43           59     0       1800     0.0321355       1799.9               7305             0         0.965517   44.513    1       7345       0       0    10
    1-FullIns_5    6    282     3247            0.5                1                1               1800         0    31               0         1     1      144           21     0       1800     0.0550741      1799.41               7171             0              0.8  140.183    1       7151       0       0     1
    1-FullIns_5    6    282     3247            0.5                1                1               1800         0    31               0         1     1      144           20     0       1800     0.0574957      1799.38               7126             0         0.947368  140.188    1       7345       0       0     2
    1-FullIns_5    6    282     3247            0.5                1                1               1800         0    31               0         1     1      144           20     0       1800     0.0695552      1799.37               7126             0         0.894737  140.186    1       7258       0       0     3
    1-FullIns_5    6    282     3247            0.5                1                1               1800         0    31               0         1     1      144           19     0       1800     0.0686963      1799.39               7127             0                1  140.167    1       6923       0       0     4
    1-FullIns_5    6    282     3247            0.5                1                1               1800         0    31               0         1     1      144           17     0       1800     0.0488966       1799.4               7060             0             1.25  140.178    1       7182       0       0     5
    1-FullIns_5    6    282     3247            0.5                1                1               1800         0    31               0         1     1      144           18     0       1800     0.0498831      1799.41               7102             0         0.941176  140.183    1       6874       0       0     6
    1-FullIns_5    6    282     3247            0.5                1                1               1800         0    31               0         1     1      144           19     0       1800     0.0697004      1799.39               7125             0         0.888889  140.189    1       6909       0       0     7
