
       instance   k    n     m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit  do_exact   ss  chroma_k_early  chroma_k  crit  edges  num_perturb  repl     time  time_confirm  time_color  calls_to_coloring  heu_mistakes  avg_perturb_str      ttb  itb  num_flips  num_bt  infeas  seed
 rand-50-0.05-1   4   50   120            0.5                1                1               1800         0   16               0         1     1     30          117     0     1800     0.0639209      1799.9               7655             0         0.965517  638.147   42       7530       0       0     1
 rand-50-0.05-1   4   50   120            0.5                1                1               1800         0   16               0         1     1     30          115     0     1800     0.0638835      1799.9               7629             0          1.03509  860.692   57       7486       0       0     2
 rand-50-0.05-1   4   50   120            0.5                1                1               1800         0   16               0         1     1     30          118     0     1800     0.0597229      1799.9               7647             0         0.940171   1307.3   84       7532       0       0     3
 rand-50-0.05-1   4   50   120            0.5                1                1               1800         0   18               0         1     1     37          119     0     1800     0.0662766      1799.9               7706             0         0.991525  20.0064    1       7595       0       0     4
 rand-50-0.05-1   4   50   120            0.5                1                1               1800         0   16               0         1     1     30          116     0     1800     0.0544884     1799.92               7643             0         0.991304  525.115   35       7510       0       0     5
 rand-50-0.05-1   4   50   120            0.5                1                1               1800         0   16               0         1     1     30          119     0     1800     0.0600547     1799.91               7690             0         0.940678  1332.29   88       7587       0       0     6
 rand-50-0.05-1   4   50   120            0.5                1                1               1800         0   16               0         1     1     30          119     0     1800     0.0612056     1799.91               7684             0         0.966102  1719.88  113       7580       0       0     7
 rand-50-0.05-1   4   50   120            0.5                1                1               1800         0   16               0         1     1     30          116     0     1800     0.0600388     1799.91               7638             0          1.05217  438.103   27       7489       0       0     8
 rand-50-0.05-1   4   50   120            0.5                1                1               1800         0   16               0         1     1     30          113     0     1800     0.0496892     1799.92               7562             0          1.04464  904.707   58       7419       0       0     9
 rand-50-0.05-1   4   50   120            0.5                1                1               1800         0   16               0         1     1     30          116     0     1800     0.0584433     1799.91               7647             0          1.08696  932.203   61       7533       0       0    10
 rand-50-0.05-2   4   50   119            0.5                1                1               1800         0   22               0         1     1     46          126     0     1800     0.0739666     1799.88               7925             0            1.032  14.5133    1       7807       0       0     1
 rand-50-0.05-2   4   50   119            0.5                1                1               1800         0   22               0         1     1     46          127     0     1800     0.0719533     1799.89               7938             0         0.865079  14.5098    1       7825       0       0     2
 rand-50-0.05-2   4   50   119            0.5                1                1               1800         0   22               0         1     1     46          126     0     1800     0.0486454     1799.92               7893             0            0.976  14.5038    1       7764       0       0     3
 rand-50-0.05-2   4   50   119            0.5                1                1               1800         0   22               0         1     1     46          126     0     1800      0.068828      1799.9               7909             0            1.024  14.5038    1       7796       0       0     4
 rand-50-0.05-2   4   50   119            0.5                1                1               1800         0   22               0         1     1     46          125     0     1800     0.0718546     1799.89               7820             0          1.09677  14.5032    1       7702       0       0     5
 rand-50-0.05-2   4   50   119            0.5                1                1               1800         0   22               0         1     1     46          127     0     1800     0.0702291      1799.9               7969             0         0.960317  14.5038    1       7867       0       0     6
 rand-50-0.05-2   4   50   119            0.5                1                1               1800         0   22               0         1     1     46          125     0     1800     0.0246578     1799.94               7865             0          1.06452  14.5034    1       7725       0       0     7
 rand-50-0.05-2   4   50   119            0.5                1                1               1800         0   22               0         1     1     46          124     0     1800     0.0488881     1799.92               7787             0          1.09756  14.5037    1       7623       0       0     8
 rand-50-0.05-2   4   50   119            0.5                1                1               1800         0   22               0         1     1     46          125     0     1800     0.0601931     1799.91               7815             0          1.04839  14.5032    1       7686       0       0     9
 rand-50-0.05-2   4   50   119            0.5                1                1               1800         0   22               0         1     1     46          128     0     1800     0.0594225     1799.91               8032             0         0.976378  14.5036    1       7965       0       0    10
