       instance    k  n_red    m_red      n        m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit    R  reltg_size  do_heu    ss  ss_gen_1st  ss_fin_1st  chroma_k_early  chroma_k  crit_early  crit    edges           time             time_pp  time_confirm_chroma  time_confirm_crit               time_color  iter            ttb  itb  max_iter_diff            ss_fin_avg            ss_gen_avg  ss_gen_best  num_size_att  heu_mistakes  num_pp        avg_pp_reduced        avg_pp_skipped  calls_to_coloring  num_gen_subsets  infeas  clique_start  color_not_ok  seed
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           7               1         1           1     1       12   300.00441726   5.339747943999999              6.9e-08            5.5e-07        9.048359474000002   165     5.41454709    1              1  0.030844809535314488   0.03460309790341199            7           330             0     164    0.8536585365853658     4.713414634146342              37759            37251       0             3             0     1
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           1     1       12  300.006264828   5.083266720000002              5.6e-08            7.4e-08        9.119181028000002   167    5.431271852    1              1  0.030852079796264857  0.034672113752122244            7           335             0     166    0.8674698795180723     4.885542168674699              38184            37696       0             3             0     2
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           1     1       12  300.001648251   5.433529699000004              5.4e-08            7.2e-08        9.138396258999984   170    5.075264359    1              1   0.03156828240814803   0.03562096731189676            7           341             0     169    0.8994082840236687     4.763313609467455              38029            37506       0             3             0     3
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           1     1       12  300.005755108         5.483386734              5.5e-08           2.86e-07        9.268491345000005   166    5.348759425    1              1    0.0314121898861444  0.035488166082443415            7           333             0     165    0.9090909090909091     4.763636363636364              37313            36801       0             3             0     4
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           1     1       12  300.001579637   5.119712569000001             3.01e-07           1.17e-07        9.120851196999997   164    5.210739211    1              1   0.03077005981570297   0.03462305329525246            7           329             0     163    0.8773006134969326     4.852760736196319              37600            37114       0             3             0     5
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           1     1       12  300.001559789         5.351984669             2.66e-07            6.8e-08        9.033477124000022   171    5.210403722    1              1   0.03149460545800719   0.03554051195261265            7           343             0     170                   0.9     4.776470588235294              38340            37816       0             3             0     6
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           1     1       12  300.001124268   5.364210210999998             1.02e-07            6.5e-08         9.09949647499991   165    5.372593209    1              1  0.031033737024221453   0.03495350346020761            7           332             0     164    0.8841463414634146     4.689024390243903              37509            36992       0             3             0     7
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           1     1       12  300.000486135   5.376403143000003             3.54e-07           6.49e-07        9.326458829000003   168    5.482963012    1              1    0.0313169164882227  0.035358672376873665            7           337             0     167    0.9041916167664671     4.754491017964072              37879            37360       0             3             0     8
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           1     1       12  300.001185014         5.328258614              5.5e-08           3.52e-07        9.183217159999936   171    4.864766088    1              1  0.030911941468513195   0.03477920041808205            7           342             0     169    0.8757396449704142     4.781065088757397              38793            38270       0             3             0     9
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           1     1       12  300.005204074   5.375591967999999             3.49e-07           5.09e-07         9.23875409799994   173    5.273408331    1              1   0.03151480280364055   0.03556857411863166            7           347             0     172    0.9011627906976745     4.819767441860465              38759            38236       0             3             0    10
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    15          93          22               1         1           1     1       43   300.00067805        16.013470333             2.96e-07            8.1e-08        12.91683756300003   122   12.125123307    1              1   0.05016665725100277    0.0702502683464211           20           247             0     118      6.02542372881356     4.915254237288136              37288            35402       0             3             0     1
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    15          93          20               1         1           1     1       43  300.003907892        16.198198104              5.8e-08           4.75e-07       13.054099823000072   122   10.328450126    1              1   0.05022135341804174    0.0709480825619502           20           242             0     116    6.2155172413793105     4.844827586206897              36670            34786       0             3             0     2
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    15          93          22               1         1           1     1       43  300.001950604        14.599283542              6.6e-08            7.4e-08       13.069120742000056   132   10.111467968    1              1   0.04496659624279107   0.06318163649860103           19           245             0     105     6.076190476190476     4.961904761904762              36718            35026       0             3             0     3
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    15          93          20               1         1           1     1       43  300.000826267  12.547855110999999              5.8e-08           1.34e-07       12.848861488999942   133   11.517236869    1              1  0.040404604895495695   0.05605230803621326           19           234             0      96     5.833333333333333               4.90625              37302            35788       0             3             0     4
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    15          93          22               1         1           1     1       43  300.005562803  14.141924708000005              5.3e-08           2.93e-07       12.604818615000108   144     9.33988707    1              1   0.04430362966301667   0.06164329082376647           19           263             0     111     5.891891891891892     4.927927927927928              39474            37717       0             3             0     5
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    15          93          22               1         1           1     1       43  300.003682036  15.347105585999996              5.4e-08           6.06e-07       12.611799251000015   133   11.047119863    1              1   0.04807666496657987   0.06732343703862777           19           259             0     119     6.025210084033613     4.848739495798319              39163            37253       0             3             0     6
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    15          93          22               1         1           1     1       43  300.003457967  15.405396257000005             3.14e-07           4.33e-07       12.575133298000031   130   12.747596142    1              1   0.04858645452361248   0.06802103633305748           20           259             0     121     6.016528925619835     4.884297520661157              39396            37459       0             3             0     7
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    15          93          20               1         1           1     1       43  300.001732763  13.352634036999996              5.8e-08            1.7e-07       12.684481522000027   137   12.690835374    1              1   0.04147976003891261   0.05801761876452467           19           245             0     102                     6     4.882352941176471              38635            37006       0             3             0     8
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    15          93          20               1         1           1     1       43  300.002103874  16.167377940000005              8.2e-08           1.28e-07       12.541133760000013   131   11.334475445    1              1   0.05051312808210049    0.0707183793149407           20           263             0     126     6.015873015873016     4.833333333333333              39539            37515       0             3             0     9
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    15          93          22               1         1           1     1       43  300.000307284  12.664249798999995              5.5e-08            5.9e-08       12.576619225000009   137   13.538181026    1              1   0.03980139344918716   0.05488374576225942           19           243             0      99     5.707070707070707     4.909090909090909              39010            37461       0             3             0    10
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    31         282          59               1         1           1     1      144  300.000388779        79.990613407             1.07e-07           1.38e-07        65.39695760599993    79   20.812624103    1              1    0.1064709980839575   0.20314405155896184           58           171             0      78     28.46153846153846                     5              27181            22964       0             3             0     1
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    31         282          60               1         1           1     1      144   300.00047716   72.78802308700001              5.5e-08           7.67e-07        56.98319698099981   107   13.626043662    1              1   0.10634681376479266   0.20284788813700652           57           225             0     106     28.38679245283019     4.962264150943396              36919            31181       0             3             0     2
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    31         282          60               1         1           1     1      144  300.001491819   73.74843348499998              5.6e-08           5.33e-07       57.122695048000104   109   13.338007423    1              1    0.1068987341772152   0.20373417721518988           58           229             0     108    28.333333333333332     5.046296296296297              37432            31600       0             3             0     3
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    31         282          60               1         1           1     1      144  300.003848501   73.84732577500003              5.9e-08            9.5e-08        58.22131469000045   103    20.16610464    1              1   0.10271462394188045   0.19725618655336816           58           218             0     102     28.57843137254902      5.03921568627451              36389            30833       0             3             0     4
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    31         282          59               1         1           1     1      144  300.003395059   75.59242282200003              7.2e-08           3.05e-07        58.97288102300026   106   16.742324062    1              1   0.10694159418873579   0.20424118049447865           58           224             0     105    28.447619047619046    4.9904761904761905              36386            30699       0             3             0     5
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    31         282          60               1         1           1     1      144  300.001876115   75.13246387599999              5.5e-08           1.97e-07       58.198919748999664   110   13.436876639    1              1    0.1089491677050385   0.20812166522892106           58           230             0     109    28.477064220183486                     5              37206            31299       0             3             0     6
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    31         282          59               1         1           1     1      144  300.002634482   72.44320534200001             1.28e-07            5.9e-08       56.946449242999435   105   17.887644115    1              1   0.10325017456992319   0.19666095346918047           58           221             0     104    28.298076923076923     5.019230769230769              37120            31506       0             3             0     7
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    31         282          59               1         1           1     1      144  300.000134689   72.28254333200002             2.08e-07            8.7e-08        56.59408634499974   106   20.075080286    1              1   0.10411906575272913    0.1984006092916984           58           224             0     105    28.295238095238094     5.133333333333334              37173            31512       0             3             0     8
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    31         282          60               1         1           1     1      144  300.000591583   79.56068408099996             1.28e-07              6e-08         72.7612550960009   272      17.933721    1              1   0.10707345264254232    0.2052558712578273           58           556             0     271    28.523985239852397      5.07380073800738              93456            78731       0             3             0     9
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    31         282          60               1         1           1     1      144  300.000113247   79.85895553900002              5.9e-08            7.4e-08        74.55914797699926   270   15.278621327    1              1   0.10601737366051614    0.2035000951112802           58           552             0     269    28.576208178438662     5.052044609665428              93501            78855       0             3             0    10
 1-Insertions_4    5     67      232     67      232            0.5                1                1                300  200        1.08       1    67          67          67               1         1           0     1      232   26.264892121                   0             5.34e-07        3.436390349        9.978749127000007     1              0    0              0                     0                     0           67            11             0       0                    NA                    NA               2200             2200       0             2             0     1
 1-Insertions_4    5     67      232     67      232            0.5                1                1                300  200        1.08       1    67          67          67               1         1           0     1      232   18.460781731                   0             2.22e-07        3.154016177              2.914215224     1              0    0              0                     0                     0           67            11             0       0                    NA                    NA               2200             2200       0             2             0     2
 1-Insertions_4    5     67      232     67      232            0.5                1                1                300  200        1.08       1    67          67          67               1         1           0     1      232   22.128513984                   0              7.9e-08        1.666416418       6.8801868200000005     1              0    0              0                     0                     0           67            11             0       0                    NA                    NA               2200             2200       0             2             0     3
 1-Insertions_4    5     67      232     67      232            0.5                1                1                300  200        1.08       1    67          67          67               1         1           0     1      232   21.991292861                   0              6.9e-08         0.37063422        6.447619081000004     1              0    0              0                     0                     0           67            11             0       0                    NA                    NA               2200             2200       0             2             0     4
 1-Insertions_4    5     67      232     67      232            0.5                1                1                300  200        1.08       1    67          67          67               1         1           0     1      232   24.598884349                   0             1.06e-07        2.539978005              8.616687174     1              0    0              0                     0                     0           67            11             0       0                    NA                    NA               2200             2200       0             2             0     5
 1-Insertions_4    5     67      232     67      232            0.5                1                1                300  200        1.08       1    67          67          67               1         1           0     1      232   11.089954642                   0              5.4e-08        2.890048565       1.3114624329999982     1              0    0              0                     0                     0           67            11             0       0                    NA                    NA               2200             2200       0             2             0     6
 1-Insertions_4    5     67      232     67      232            0.5                1                1                300  200        1.08       1    67          67          67               1         1           0     1      232   12.610322182                   0              5.6e-08        4.173868296       1.4729347860000035     1              0    0              0                     0                     0           67            11             0       0                    NA                    NA               2200             2200       0             2             0     7
 1-Insertions_4    5     67      232     67      232            0.5                1                1                300  200        1.08       1    67          67          67               1         1           0     1      232    14.55507821                   0              8.1e-08        2.469383425       3.0381030940000007     1              0    0              0                     0                     0           67            11             0       0                    NA                    NA               2200             2200       0             2             0     8
 1-Insertions_4    5     67      232     67      232            0.5                1                1                300  200        1.08       1    67          67          67               1         1           0     1      232    20.67910922                   0              5.6e-08        2.231098396        7.793875887999998     1              0    0              0                     0                     0           67            11             0       0                    NA                    NA               2200             2200       0             2             0     9
 1-Insertions_4    5     67      232     67      232            0.5                1                1                300  200        1.08       1    67          67          67               1         1           0     1      232    14.08106208                   0             2.16e-07         3.46531363        2.800880938999999     1              0    0              0                     0                     0           67            11             0       0                    NA                    NA               2200             2200       0             2             0    10
 1-Insertions_5    6    202     1227    202     1227            0.5                1                1                300  200        1.08       1   194         202         196               0         0           1     1     1186  300.000472413  62.076289038999995        300.000390088            6.8e-08       263.26791154600073   137   48.337007709   15              7    0.6850737827137642    0.6851509075016711          194           289             0     136  0.022058823529411766     5.213235294117647              64644            38898       0             2             0     1
 1-Insertions_5    6    202     1227    202     1227            0.5                1                1                300  200        1.08       1   194         202         195               0         0           1     1     1186  300.000517547  59.926001617999994        300.000374068            7.1e-08        263.9346011900008   137   29.612673929    5              4    0.6675937061535377    0.6676438163960714          194           288             0     136  0.014705882352941176     5.036764705882353              65677            39912       0             2             0     2
 1-Insertions_5    6    202     1227    202     1227            0.5                1                1                300  200        1.08       1   194         202         196               0         0           1     1     1186  300.000717273   62.45627896099999        300.000317641            8.5e-08         262.394367521001   136   56.234346199   17             12    0.6829583322569812     0.683035829609155          194           285             0     135  0.022222222222222223     5.148148148148148              64259            38711       0             2             0     3
 1-Insertions_5    6    202     1227    202     1227            0.5                1                1                300  200        1.08       1   194         202         196               0         0           1     1     1186  300.000555355   62.39528377500001        300.000396915           1.12e-07        264.4373190329993   138    77.44018818   29             27    0.6813957031845193    0.6814718878561633          194           290             0     137  0.021897810218978103     5.145985401459854              65311            39378       0             2             0     4
 1-Insertions_5    6    202     1227    202     1227            0.5                1                1                300  200        1.08       1   193         202         193               0         0           1     1     1180  300.000468682        61.125044591        300.000386625            8.7e-08        264.6085028840028   140    13.86073026    1              1    0.6756199885807909    0.6756448129483902          193           294             0     139  0.007194244604316547    5.0359712230215825              66603            40283       0             2             0     5
 1-Insertions_5    6    202     1227    202     1227            0.5                1                1                300  200        1.08       1   194         202         196               0         0           1     1     1186  300.001036462  61.290549189999986        300.000385068            9.6e-08        267.5832511009995   142   36.768806112   11             10    0.6620562360668313    0.6621760912817317          194           298             0     141   0.03546099290780142     5.078014184397163              68428            41717       0             2             0     6
 1-Insertions_5    6    202     1227    202     1227            0.5                1                1                300  200        1.08       1   194         202         196               0         0           1     1     1186  300.000898351   60.45168492500003        300.000317455              6e-08        267.3499780850004   145   60.752130185   23             17    0.6708854736641766    0.6709330541942238          194           306             0     144  0.013888888888888888                 5.125              69303            42034       0             2             0     7
 1-Insertions_5    6    202     1227    202     1227            0.5                1                1                300  200        1.08       1   194         202         197               0         0           1     1     1186  300.000189858   62.49538970399998        300.000361618            8.1e-08        269.5752478110034   141  149.048978519   65             63    0.6695066279325245    0.6696286893049825          194           296             0     140   0.03571428571428571     5.142857142857143              67476            40963       0             2             0     8
 1-Insertions_5    6    202     1227    202     1227            0.5                1                1                300  200        1.08       1   194         202         196               0         0           1     1     1186  300.000718712  61.337318022000034        300.000352431            5.9e-08        269.1246099690022   140   75.936389443   30             26    0.6526868570606431    0.6527587943313431          194           295             0     139   0.02158273381294964    5.0503597122302155              68027            41703       0             2             0     9
 1-Insertions_5    6    202     1227    202     1227            0.5                1                1                300  200        1.08       1   194         202         196               0         0           1     1     1186  300.000535254   64.65351747700002        300.000362477            7.9e-08        269.7247202279996   140  229.363823046  105             96    0.6842938250514998    0.6844445560970708          194           295             0     139   0.04316546762589928     5.028776978417266              66156            39806       0             2             0    10
 1-Insertions_6    7    607     6337    607     6337            0.5                1                1                300  200        1.08       1   581         607         584               0         0           1     1     6157  300.002557869       138.966677238        300.000811904            5.3e-08       249.23855104099982    14  119.680211353    3              1    1.0995350188898576     1.099970938680616          581            65             0      13   0.23076923076923078    4.6923076923076925              14054             6882       0             2             0     1
 1-Insertions_6    7    607     6337    607     6337            0.5                1                1                300  200        1.08       1   582         607         584               0         0           1     1     6165  300.004289944  129.30338869399998        300.000970631            6.1e-08        250.4112260069984    13  198.676747203    6              3    1.0008573878250928    1.0011431837667906          582            62             0      12   0.16666666666666666                     4              13372             6998       0             2             0     2
 1-Insertions_6    7    607     6337    607     6337            0.5                1                1                300  200        1.08       1   582         607         582               0         0           1     1     6165  300.004144598  139.37347503200002        300.000909457              6e-08       249.83403635699977    14   52.526584207    1              1    1.1282165699836382    1.1286627993455303          582            64             0      13   0.23076923076923078     4.076923076923077              13674             6723       0             2             0     3
 1-Insertions_6    7    607     6337    607     6337            0.5                1                1                300  200        1.08       1   580         607         580               0         0           1     1     6149  300.005651747  140.51978991699997        300.000733635            6.1e-08        249.2830959279999    13   48.877566685    1              1    1.0293380510098777    1.0305174701459532          580            65             0      12    0.6666666666666666                     5              13701             6783       0             2             0     4
 1-Insertions_6    7    607     6337    607     6337            0.5                1                1                300  200        1.08       1   581         607         582               0         0           1     1     6157  300.002389561  141.73889072600002         300.00092802            6.8e-08       249.89479798999997    14  173.120920734    6              2    1.1352649752289445    1.1358654856628134          581            65             0      13    0.3076923076923077     3.923076923076923              13593             6661       0             2             0     5
 1-Insertions_6    7    607     6337    607     6337            0.5                1                1                300  200        1.08       1   581         607         584               0         0           1     1     6157  300.006501649        133.00240597        300.000832975            4.9e-08       248.48597200299912    13  255.236441902    9              6    1.0323104160519327    1.0327530244910004          581            62             0      12                  0.25     4.083333333333333              13145             6778       0             2             0     6
 1-Insertions_6    7    607     6337    607     6337            0.5                1                1                300  200        1.08       1   579         607         581               0         0           1     1     6141   300.00093691       137.473249686        300.000816897            5.5e-08       249.44460436599996    13  198.313789783    6              4    1.0489416003603063     1.049391983185708          579            63             0      12                  0.25                   4.5              13014             6661       0             2             0     7
 1-Insertions_6    7    607     6337    607     6337            0.5                1                1                300  200        1.08       1   581         607         583               0         0           1     1     6157  300.000163591       133.360625011        300.001355953            5.7e-08       248.70017780899974    13  111.971654037    2              1    1.0137800986364955     1.014215259646069          581            62             0      12                  0.25     4.416666666666667              13455             6894       0             2             0     8
 1-Insertions_6    7    607     6337    607     6337            0.5                1                1                300  200        1.08       1   573         607         573               0         0           1     1     6093  300.000599835       130.933491143          300.0010276           3.38e-07       248.30757316899945    12   56.432603937    1              1    0.8929616724738676    0.8935191637630662          573            61             0      11   0.36363636363636365     4.818181818181818              13351             7175       0             2             0     9
 1-Insertions_6    7    607     6337    607     6337            0.5                1                1                300  200        1.08       1   581         607         581               0         0           1     1     6157  300.003769845       119.871320306        300.000838093            4.9e-08       243.60289724899957    11   64.524057604    1              1    0.8597578978447004    0.8603483909064068          581            60             0      10                   0.4                   4.1              12537             6774       0             2             0    10
    2-FullIns_3    5     52      201     52      201            0.5                1                1                300  200        1.08       1     9          52          10               1         1           1     1       22  300.000120796   6.904036236999995                6e-08           1.55e-07       12.313473132999999  1454    3.449873162    1              1   0.04248145212634643  0.047107051440302486            9          2909             0    1453    0.9800412938747419     5.890571231933929             313785           307852       0             4             0     1
    2-FullIns_3    5     52      201     52      201            0.5                1                1                300  200        1.08       1     9          52          10               1         1           1     1       22  300.004215415   6.877935968999999              5.6e-08           4.66e-07        9.467454120000033   379    2.579153771    1              1  0.042451006075121936   0.04706660179883487            9           759             0     378    0.9788359788359788     5.962962962962963              81672            80163       0             4             0     2
    2-FullIns_3    5     52      201     52      201            0.5                1                1                300  200        1.08       1     9          52          10               1         1           1     1       22  300.003301573   6.942316000000004              6.6e-08           1.54e-07        9.222891541999958   209     3.57402278    1              1   0.04206531015586399   0.04655706778062256            9           419             0     208    0.9615384615384616     5.841346153846154              45374            44526       0             4             0     3
    2-FullIns_3    5     52      201     52      201            0.5                1                1                300  200        1.08       1     9          52          10               1         1           1     1       22  300.005951004   7.027953216000006              5.4e-08           1.32e-07         9.10066529800006   207    3.925551486    1              1   0.04239806180288901   0.04699213750228561            9           415             0     206    0.9757281553398058     5.849514563106796              44593            43752       0             4             0     4
    2-FullIns_3    5     52      201     52      201            0.5                1                1                300  200        1.08       1     9          52          10               1         1           1     1       22  300.002931251   6.779056693999999              5.5e-08           6.32e-07        8.977422455000045   207    4.479422842    1              1   0.04221954161640531    0.0467715137583358            9           415             0     206     0.970873786407767     5.980582524271845              44750            43937       0             4             0     5
    2-FullIns_3    5     52      201     52      201            0.5                1                1                300  200        1.08       1     9          52          10               1         1           1     1       22  300.000355735   6.894108384999997              5.4e-08           4.56e-07        9.231114646999997   204    6.050904317    1              1  0.042530420418324374    0.0471603731881529            9           409             0     203    0.9802955665024631     5.935960591133005              43793            42981       0             4             0     6
    2-FullIns_3    5     52      201     52      201            0.5                1                1                300  200        1.08       1     9          52          10               1         1           1     1       22  300.000392557   6.898178344999998             4.35e-07            6.7e-08        8.924053714000014   203    6.143625509    1              1   0.04225417547445934  0.046853585449139354            9           407             0     202    0.9801980198019802    5.9405940594059405              43856            43049       0             4             0     7
    2-FullIns_3    5     52      201     52      201            0.5                1                1                300  200        1.08       1     9          52          10               1         1           1     1       22  300.003702783   6.917211924000002              8.5e-08           2.92e-07        9.832985483999957   179    6.731175222    1              1   0.04211660229631381   0.04666193741625286            9           359             0     178    0.9719101123595506     5.865168539325842              38783            38061       0             4             0     8
    2-FullIns_3    5     52      201     52      201            0.5                1                1                300  200        1.08       1     9          52          10               1         1           1     1       22  300.007181257   6.723981140000003             1.97e-07           5.22e-07        9.766221680999982   181     6.71032807    1              1  0.042476809391541324  0.047141135160630995            9           363             0     180    0.9888888888888889     6.038888888888889              38864            38162       0             4             0     9
    2-FullIns_3    5     52      201     52      201            0.5                1                1                300  200        1.08       1     9          52          10               1         1           1     1       22  300.003948691  6.9060580359999975              6.6e-08            1.1e-07        9.720043958000057   182    6.117153691    1              1   0.04198650249858328    0.0465457730153006            9           365             0     181    0.9779005524861878     5.883977900552487              39554            38822       0             4             0    10
    2-FullIns_4    6    212     1621    212     1621            0.5                1                1                300  200        1.08       1    19         212          26               1         1           1     1       75  300.007417394  21.611103389000004             4.78e-07           2.38e-07        13.68302907299995   140   11.223640006    1              1   0.07579098067287043   0.10250536864710093           24           288             0     139     6.712230215827338     6.151079136690647              37625            34925       0             4             0     1
    2-FullIns_4    6    212     1621    212     1621            0.5                1                1                300  200        1.08       1    19         212          26               1         1           1     1       75  300.007427273  22.212595281999985              5.4e-08           1.81e-07       13.871028861999985   138   11.331772227    1              1   0.07662047909816816   0.10386331611085016           25           283             0     137     6.773722627737226     6.262773722627737              36718            34064       0             4             0     2
    2-FullIns_4    6    212     1621    212     1621            0.5                1                1                300  200        1.08       1    19         212          23               1         1           1     1       75  300.002187222         6.112216387             4.42e-07           1.03e-06       13.481090874999932   155    9.960531358    1              1  0.020789495833684033   0.02718626378250989           23           198             0      39     5.846153846153846     6.051282051282051              36376            35643       0             4             0     3
    2-FullIns_4    6    212     1621    212     1621            0.5                1                1                300  200        1.08       1    19         212          26               1         1           1     1       75  300.001154261        21.771878401             1.45e-07           5.34e-07       13.758490651999997   136   11.675500436    1              1   0.07537879898010023   0.10187274698865802           24           279             0     135     6.696296296296296     6.222222222222222              36731            34121       0             4             0     4
    2-FullIns_4    6    212     1621    212     1621            0.5                1                1                300  200        1.08       1    19         212          25               1         1           1     1       75  300.001795759  21.885707430000007             1.55e-07           9.93e-07       13.281813811999909   150   11.061266952    1              1   0.07538477925121159    0.1021994993875486           25           304             0     149     6.758389261744966     6.322147651006712              40443            37554       0             4             0     5
    2-FullIns_4    6    212     1621    212     1621            0.5                1                1                300  200        1.08       1    19         212          26               1         1           1     1       75  300.001437117  21.891989581000015             2.91e-07           1.56e-07       13.336824685000062   152   12.184447825    1              1    0.0769333654334858   0.10400449402134661           24           311             0     151     6.701986754966887    6.2052980132450335              40308            37383       0             4             0     6
