
       instance    k  n_red    m_red      n        m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit    R  reltg_size  do_heu    ss  ss_gen_1st  ss_fin_1st  chroma_k_early  chroma_k  crit_early  crit    edges           time        time_pp  time_confirm_chroma  time_confirm_crit               time_color  iter            ttb  itb  max_iter_diff  ss_fin_avg  ss_gen_avg  ss_gen_best  num_size_att  heu_mistakes  num_pp  avg_pp_reduced  avg_pp_skipped  calls_to_coloring  num_gen_subsets  infeas  clique_start  color_not_ok  seed
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7           0           0               1         1           1     1       12    2.178107812    0.175135614              5.5e-08           8.28e-07     0.007801762000000003     0    2.178094168    0              0          NA          NA           30             0             0       0              NA              NA                 30                0       0             3             0     1
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1    10           0           0               1         1           1     1       18    2.214179952    0.212593289              5.5e-08           5.52e-07     0.010516868999999998     0    2.214168165    0              0          NA          NA           30             0             0       0              NA              NA                 31                0       0             3             0     2
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1    10           0           0               1         1           1     1       18    2.174299981    0.172555231              5.4e-08           3.26e-07    0.0075845730000000024     0    2.174291097    0              0          NA          NA           30             0             0       0              NA              NA                 30                0       0             3             0     3
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7           0           0               1         1           1     1       12    2.215318377    0.210753109              5.3e-08           5.91e-07     0.010244481000000005     0    2.215307896    0              0          NA          NA           30             0             0       0              NA              NA                 29                0       0             3             0     4
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1    14           0           0               1         1           1     1       26    2.230603746    0.226721098              5.4e-08           1.44e-07     0.015250444999999998     0    2.230601326    0              0          NA          NA           30             0             0       0              NA              NA                 31                0       0             3             0     5
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7           0           0               1         1           1     1       12    2.228335274    0.223602406              6.2e-08           1.42e-07     0.012649216000000001     0    2.228331847    0              0          NA          NA           30             0             0       0              NA              NA                 30                0       0             3             0     6
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1    15           0           0               1         1           1     1       29    2.223123989    0.222770396              7.6e-08            7.5e-08     0.017167615000000008     0    2.223117533    0              0          NA          NA           30             0             0       0              NA              NA                 31                0       0             3             0     7
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7           0           0               1         1           1     1       12    2.040464829    0.036872744              6.2e-08           1.87e-07    0.0024305710000000003     0    2.040460966    0              0          NA          NA           30             0             0       0              NA              NA                 29                0       0             3             0     8
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1    11           0           0               1         1           1     1       20    2.081649787    0.078470134              6.1e-08           1.96e-07    0.0052891499999999985     0    2.081646261    0              0          NA          NA           30             0             0       0              NA              NA                 31                0       0             3             0     9
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1    10           0           0               1         1           1     1       17     2.07302537    0.070362563              6.2e-08            1.4e-07    0.0035333639999999993     0     2.07302231    0              0          NA          NA           30             0             0       0              NA              NA                 31                0       0             3             0    10
