
       instance    k  n_red    m_red      n        m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit    R  reltg_size  do_heu    ss  ss_gen_1st  ss_fin_1st  chroma_k_early  chroma_k  crit_early  crit    edges           time        time_pp  time_confirm_chroma  time_confirm_crit               time_color  iter            ttb  itb  max_iter_diff            ss_fin_avg            ss_gen_avg  ss_gen_best  num_size_att  heu_mistakes  num_pp  avg_pp_reduced  avg_pp_skipped  calls_to_coloring  num_gen_subsets  infeas  clique_start  color_not_ok  seed
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           1     1       12    5.392080649    0.007052793              8.6e-08           1.99e-07      0.10901800099999993     2    5.392076274    1              1  0.015053763440860216  0.017204301075268817            8             4             0       1               1               6                467              465       0             3             0     1
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           1     1       12    4.940067646    0.033181817              5.6e-08           6.91e-07      0.08853242599999997     2    4.940054926    1              1  0.016908212560386472   0.01932367149758454            8             4             0       1               1               4                418              414       0             3             0     2
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           1     1       12    5.348683409    0.009141475              6.3e-08            8.9e-08      0.10296420500000006     2    5.348676566    1              1  0.015486725663716814  0.017699115044247787            8             4             0       1               1               6                454              452       0             3             0     3
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           1     1       12    5.371371051    0.002626616              7.4e-08            7.9e-08       0.1106313239999999     2    5.371368627    1              1  0.015350877192982455  0.017543859649122806            8             4             0       1               1               6                458              456       0             3             0     4
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           1     1       12    4.747943825    0.027091005              5.7e-08           4.78e-07      0.07620238499999996     2    4.747930823    1              1   0.01694915254237288   0.01937046004842615            8             4             0       1               1               4                417              413       0             3             0     5
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           1     1       12    5.238896516    0.017568158              5.4e-08           2.42e-07              0.100102206     2    5.238887801    1              1  0.016826923076923076  0.019230769230769232            8             4             0       1               1               6                418              416       0             3             0     6
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           1     1       12    5.307529024    0.015345586              6.2e-08           3.64e-07      0.10214210100000001     2    5.307520424    1              1  0.016786570743405275  0.019184652278177457            8             4             0       1               1               5                420              417       0             3             0     7
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           1     1       12    2.720433357    0.026849392              5.4e-08           4.15e-07      0.02188075399999999     2    2.720421226    1              1  0.016908212560386472   0.01932367149758454            8             4             0       1               1               4                418              414       0             3             0     8
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           1     1       12    4.083415001     0.02648136             1.26e-07           8.87e-07      0.06800940399999994     2    4.083401615    1              1  0.016587677725118485  0.018957345971563982            8             4             0       1               1               5                425              422       0             3             0     9
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           1     1       12     4.53042743    0.026445232              6.1e-08           3.05e-07      0.07903299700000002     2    4.530416585    1              1  0.016587677725118485  0.018957345971563982            8             4             0       1               1               4                426              422       0             3             0    10
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    15          93          22               1         1           1     1       43   11.246281669    0.070885502              6.2e-08            8.3e-08              0.361724144     2   11.246272852    1              1  0.011185682326621925   0.01640566741237882           22             7             0       1               7               5               1358             1341       0             3             0     1
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    15          93          21               1         1           1     1       43   10.617649122    0.114461177              5.4e-08            7.9e-08       0.3464354590000005     2   10.617633431    1              1  0.012386457473162676  0.017341040462427744           21             7             0       1               6               5               1227             1211       0             3             0     2
