
       instance    k  n_red    m_red      n        m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit    R  reltg_size  do_heu    ss  ss_gen_1st  ss_fin_1st  chroma_k_early  chroma_k  crit_early  crit   edges           time             time_pp  time_confirm_chroma  time_confirm_crit               time_color  iter            ttb  itb  max_iter_diff          ss_fin_avg          ss_gen_avg  ss_gen_best  num_size_att  heu_mistakes  num_pp       avg_pp_reduced      avg_pp_skipped  calls_to_coloring  num_gen_subsets  infeas  clique_start  color_not_ok  seed
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30          12               1         1           1     1      12  300.001092817  2.9897763159999995             8.09e-07           5.03e-07        9.954637372999978   159    8.428986092    1              1  7.0476190476190474    9.46031746031746            8           229             0      63   2.4126984126984126   4.317460317460317              38418               63       0             3             0     1
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30          11               1         1           1     1      12  300.004684486   4.229759899000001             3.73e-07           5.13e-07        9.996680440999965   152    7.940274867    1              1   7.072289156626506   9.927710843373495            9           239             0      83    2.855421686746988   4.349397590361446              39010               83       0             3             0     2
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30          11               1         1           1     1      12  300.004615096  3.7445097740000013             2.05e-07           1.42e-07       10.002464957999972   153    7.108464346    1              1   7.078947368421052   9.855263157894736            9           233             0      76    2.776315789473684  4.4605263157894735              38457               76       0             3             0     3
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30          13               1         1           1     1      12  300.001711751   2.209129146999999              5.5e-08           5.08e-07        9.859679790000055   163   10.929713164    1              1   7.130434782608695   9.652173913043478            8           218             0      46   2.5217391304347827   4.543478260869565              38047               46       0             3             0     4
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30          12               1         1           1     1      12  300.001578864  1.9964204560000007             1.61e-07            8.4e-08        9.691540387999952   168     9.07219888    1              1                   7   8.959183673469388            8           224             0      49   1.9591836734693877   4.551020408163265              39333               49       0             3             0     5
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30          10               1         1           1     1      12  300.001338786          2.15412938              5.4e-08              9e-08        9.729049427000131   170     7.30572154    1              1   7.130434782608695   9.347826086956522            7           221             0      46    2.217391304347826   4.195652173913044              38990               46       0             3             0     6
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           9               1         1           1     1      12  300.000215795   2.624021338000001              5.2e-08            7.7e-08        9.831521972000003   166    6.338322576    1              1                7.05   9.266666666666667            8           229             0      60    2.216666666666667   4.466666666666667              38590               60       0             3             0     7
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           9               1         1           1     1      12  300.001358945   2.567205940000001             4.04e-07           1.91e-07       10.022635218999989   258    6.915084597    1              1                   7              9.3375            8           341             0      80               2.3375                 4.6              59429               80       0             3             0     8
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30          11               1         1           1     1      12  300.000269179  2.6058107349999986              1.4e-07            8.8e-08        9.750844512000103   257    9.044542099    1              1   7.134146341463414   9.341463414634147            8           344             0      82    2.207317073170732                 4.5              59532               82       0             3             0     9
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30          11               1         1           1     1      12  300.000867825  1.8173488020000006             2.47e-07            8.9e-08              9.910615651   258    7.120233837    1              1                   7   9.015873015873016            8           326             0      63    2.015873015873016   4.476190476190476              58605               63       0             3             0    10
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    15          93          53               1         1           1     1      43  300.000216551  178.34124108799998              6.1e-08            7.3e-08       196.72851781100042   133   48.010837453   11              9  18.436781609195403  52.701149425287355           49           234             0      87   34.264367816091955  3.8160919540229883              40508               87       0             3             0     1
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    15          93          61               1         1           1     1      43  300.000241762  115.45563871600002             1.33e-07            8.3e-08       118.93627301999955   121    20.61121583    2              1   18.10377358490566  53.528301886792455           50           247             0     106   35.424528301886795   3.830188679245283              40917              106       0             3             0     2
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    15          93          52               1         1           1     1      43  300.000281576  138.26821707599993              6.5e-08            9.1e-08        145.4715537620006   111   20.923799928    3              1   18.49019607843137  53.931372549019606           51           225             0     102    35.44117647058823   3.607843137254902              37754              102       0             3             0     3
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    15          93          54               1         1           1     1      43  300.000076542  124.77168067499996              6.2e-08            7.3e-08       141.98918544599974   120   18.291712707    1              1  17.941176470588236   53.94117647058823           50           254             0     119                   36   3.689075630252101              41684              119       0             3             0     4
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    15          93          49               1         1           1     1      43  300.003075815   38.23624498400002             3.32e-07           5.24e-07        41.08494416899999   176   21.613951381    4              3  17.821428571428573  52.476190476190474           49           268             0      84   34.654761904761905  3.7976190476190474              48084               84       0             3             0     5
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    15          93          49               1         1           1     1      43  300.002390124        49.075690411             5.83e-07            9.4e-08        50.55263338999923   160    22.54648884    3              2    17.3953488372093  52.383720930232556           49           254             0      86    34.98837209302326   3.988372093023256              46104               86       0             3             0     6
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    15          93          58               1         1           1     1      43  300.000331152        123.58053721             4.04e-07           2.99e-07       123.58657709300006   104   21.514139395    3              1   18.50980392156863  55.127450980392155           52           221             0     102    36.61764705882353  3.8529411764705883              36460              102       0             3             0     7
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    15          93          46               1         1           1     1      43  300.004367384        15.993288749             1.56e-07           8.87e-07         27.1969804349996   214    25.11898506    8              7               16.94               49.76           46           271             0      50                32.82                3.88              51523               50       0             3             0     8
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    15          93          55               1         1           1     1      43  300.001143037  53.215713997000016             1.33e-07            8.2e-08        48.98454624199996   146   16.014101124    1              1  18.054545454545455   53.30909090909091           50           270             0     110    35.25454545454546  3.6272727272727274              47412              110       0             3             0     9
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    15          93          58               1         1           1     1      43  300.001136572  62.867903993000006             1.15e-07           1.78e-07       60.508601033000254   130   29.168842199    4              2  18.177966101694917   53.94915254237288           49           267             0     118   35.771186440677965    3.73728813559322              45318              118       0             3             0    10
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    45         282         219               1         1           0     1     220  300.001884217       270.873067401              6.6e-08        0.509780232        284.1893796539995     4  239.135888645    1              1  130.33333333333334                 222          219            32             0       3    91.66666666666667                   4               3997                3       0             3             0     1
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    37         282         201               1         1           0     1     174   300.00036827  275.10310570300004             1.07e-07        0.141137944       284.88257612500036     4    179.9007488    1              1   78.33333333333333                 209          201            25             0       3   130.66666666666666  2.3333333333333335               4542                3       0             3             0     2
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    37         282         217               1         1           0     1     174  300.000159729       267.786335517              6.3e-08         0.14993996       285.01365809299944     3  179.469566508    1              1                  52               216.5          216            36             0       2                164.5                 2.5               4182                2       0             3             0     3
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    65         282         221               0         1           0     0     330  300.000309056       271.707052748          4.406547059        0.572189266       285.48788344400026     3  300.000243819    2              1                  89                 223          221            32             0       2                  134                 2.5               4078                2       0             3             0     4
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    40         282         212               1         1           0     1     183  300.001423593       265.173422071              9.7e-08        0.196806242        285.0057822829991     5  290.028572991    3              2              135.75               215.5          210            40             0       4                79.75                 2.5               5663                4       0             3             0     5
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    40         282         213               1         1           0     1     185  300.000537184       267.792648035              6.4e-08        0.173046434       285.05562271900016     4  215.262175717    1              1  110.66666666666667  214.33333333333334          212            38             0       3   103.66666666666667                   2               4350                3       0             3             0     6
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    92         282         211               1         1           0     0     589  300.000643846       275.230283373             3.62e-07        0.586966069        285.3590187229994     3  187.700760527    1              1                  79               215.5          211            26             0       2                136.5                   3               3738                2       0             3             0     7
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    69         282         209               0         0           0     0     361  300.000128493       271.816256547          1.199094439            7.1e-08       285.43237157999954     5  225.715535979    1              1                 151              217.25          209            31             0       4                66.25                2.75               4501                4       0             3             0     8
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    43         282         213               1         1           0     1     216  300.000887381       268.652318913              6.4e-08        0.212689055       284.93774295299943     3  237.587085642    1              1                  78               215.5          213            30             0       2                137.5                   3               4004                2       0             3             0     9
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    42         282         219               1         1           0     1     196  300.000118163       266.988838071              9.7e-08        0.122828482       285.90687908499945     3  226.960915003    1              1                70.5                 217          215            39             0       2                146.5                 4.5               4414                2       0             3             0    10
 1-Insertions_4    5     67      232     67      232            0.5                1                1                300  200        1.08       1    67          67          67               1         1           0     0     232    18.25004508                   0             1.36e-07        0.500175081              3.648762388     1              0    0              0                  NA                  NA           67            11             0       0                   NA                  NA               2200                0       0             2             0     1
 1-Insertions_4    5     67      232     67      232            0.5                1                1                300  200        1.08       1    67          67          67               1         1           0     0     232   17.004396124                   0              6.7e-08        0.501815423       2.6117827240000007     1              0    0              0                  NA                  NA           67            11             0       0                   NA                  NA               2200                0       0             2             0     2
 1-Insertions_4    5     67      232     67      232            0.5                1                1                300  200        1.08       1    67          67          67               1         1           0     0     232   16.429268522                   0             1.19e-07        0.752393964       2.0730339609999993     1              0    0              0                  NA                  NA           67            11             0       0                   NA                  NA               2200                0       0             2             0     3
 1-Insertions_4    5     67      232     67      232            0.5                1                1                300  200        1.08       1    67          67          67               1         1           0     0     232   15.657778468                   0              6.6e-08        0.560753184       1.8506720680000015     1              0    0              0                  NA                  NA           67            11             0       0                   NA                  NA               2200                0       0             2             0     4
 1-Insertions_4    5     67      232     67      232            0.5                1                1                300  200        1.08       1    67          67          67               1         1           0     0     232     13.0566196                   0              5.8e-08        0.978575618       1.6913732290000014     1              0    0              0                  NA                  NA           67            11             0       0                   NA                  NA               2200                0       0             2             0     5
