
       instance    k  n_red    m_red      n        m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit    R  reltg_size  do_heu    ss  ss_gen_1st  ss_fin_1st  chroma_k_early  chroma_k  crit_early  crit    edges           time               time_pp  time_confirm_chroma  time_confirm_crit               time_color  iter            ttb  itb  max_iter_diff             ss_fin_avg            ss_gen_avg  ss_gen_best  num_size_att  heu_mistakes  num_pp         avg_pp_reduced        avg_pp_skipped  calls_to_coloring  num_gen_subsets  infeas  clique_start  color_not_ok  seed
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           7               0         1           1     1       12  300.000008221     142.5088876100001          0.004378651           1.44e-07        297.5004886980013   309    3.007276273    1              1   0.031592058026229025    0.0357681881456517            7           618             0     308     0.9253246753246753    4.9058441558441555              69172            68245       0             3             0     1
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               0         1           1     1       12  300.000024436    140.01427749900003          0.006092796           2.42e-07       297.49102313000265   313     9.02735079    6              5   0.031469087439830006   0.03551655849318435            7           626             0     311     0.9003215434083601     4.742765273311897              70161            69179       0             3             0     2
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           7               0         1           1     1       12  300.000003297         142.014486688          0.004741157           1.84e-07       297.50253664600393   310    3.008975252    1              1   0.031867581656996435  0.036049833593496894            7           620             0     309      0.919093851132686     4.825242718446602              68855            67906       0             3             0     3
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           7               0         1           1     1       12  300.000006793         139.014291579          0.006263904            9.6e-08        297.4659466819973   316    3.009125617    1              1   0.031102306494976653   0.03503608320362247            7           631             0     314     0.8853503184713376      4.82484076433121              71631            70670       0             3             0     4
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               0         1           1     1       12  300.000022868    139.01414572700003          0.005142643            6.5e-08        297.4866700719979   315    7.020029148    4              3     0.0312375249500998   0.03520102651839179            7           630             0     313     0.8881789137380192     4.824281150159744              71099            70140       0             3             0     5
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               0         1           1     1       12  300.000010963    140.47517439499995          0.005422919              8e-08         297.476453822998   312    6.018183715    3              2   0.031387871622595806   0.03543931485913665            7           625             0     311     0.9035369774919614     4.829581993569132              70311            69358       0             3             0     6
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               0         1           1     1       12  300.000028898         139.014442708          0.004688432            7.9e-08        297.4819623640022   315     37.1180236   34             33    0.03098440173659723   0.03491578634763056            7           630             0     313     0.8881789137380192     4.814696485623003              71675            70713       0             3             0     7
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               0         1           1     1       12  300.000015925     143.0208372519998          0.004358083           1.42e-07        297.5051113880005   307    8.020873448    5              4    0.03172863279514146  0.035979854836320546            7           615             0     306     0.9379084967320261     4.898692810457517              68437            67510       0             3             0     8
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               0         1           1     1       12  300.000012869    142.01393810399998          0.004368883            7.1e-08       297.50488442499824   310   41.126367835   38             37   0.031813956233676166    0.0360046628989656            7           620             0     308      0.922077922077922      4.89935064935065              68700            67769       0             3             0     9
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               0         1           1     1       12  300.000021947     139.9894556280001          0.004462398              8e-08        297.4907469860008   313    8.023339402    5              4    0.03111111111111111    0.0350997150997151            7           627             0     312     0.8974358974358975     4.810897435897436              71160            70200       0             3             0    10
