       instance    k  n_red    m_red      n        m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit    R  reltg_size  do_heu    ss  ss_gen_1st  ss_fin_1st  chroma_k_early  chroma_k  crit_early  crit    edges           time             time_pp  time_confirm_chroma  time_confirm_crit               time_color  iter            ttb  itb  max_iter_diff              ss_fin_avg              ss_gen_avg  ss_gen_best  num_size_att  heu_mistakes  num_pp         avg_pp_reduced        avg_pp_skipped  calls_to_coloring  num_gen_subsets  infeas  clique_start  color_not_ok  seed
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       0     7          30           8               1         1           1     1       12  300.008251122   5.494836920000001             1.58e-07           6.25e-07        9.108718347000105   167    4.986270658    1              1     0.03165659535086287     0.03582122053459633            7           335             0     166     0.9216867469879518      4.72289156626506              37262            36738       0             3             0     1
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       0     7          30           8               1         1           1     1       12  300.001820248   5.147160364000002              2.6e-07           2.28e-07         9.06673023499994   167    5.509637093    1              1    0.030889774236387783    0.034794156706507304            7           335             0     166     0.8855421686746988     4.921686746987952              38135            37650       0             3             0     2
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       0     7          30           8               1         1           1     1       12  300.002679869         5.407705129             4.97e-07            5.3e-07        9.135384452999963   169    5.610852293    1              1     0.03144032482102789     0.03550058766962282            7           339             0     168     0.9047619047619048     4.767857142857143              37956            37436       0             3             0     3
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       0     7          30           8               1         1           1     1       12  300.005006152         5.343675368              5.3e-08           4.54e-07        9.126028889000018   166    5.429001732    1              1    0.031276210059251644     0.03530748626931089            7           333             0     165     0.9030303030303031     4.757575757575758              37473            36961       0             3             0     4
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       0     7          30           8               1         1           1     1       12  300.001849362   5.215604719000002             3.08e-07              8e-08         9.04598808099997   168    5.420014788    1              1    0.031018027571580065    0.034968186638388125            7           337             0     167     0.8922155688622755      4.81437125748503              38227            37720       0             3             0     5
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       0     7          30           8               1         1           1     1       12  300.002232824         5.284813745             2.21e-07              9e-08         9.09126272799994   167    5.298789535    1              1    0.031427336107658216     0.03545371020915527            7           335             0     166     0.8975903614457831      4.86144578313253              37503            37006       0             3             0     6
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       0     7          30           8               1         1           1     1       12  300.001051528   5.331379415999999              5.3e-08            5.9e-08        9.011984630999942   169    5.338708868    1              1     0.03098242748373159     0.03485523091919804            7           340             0     168                  0.875     4.726190476190476              38479            37957       0             3             0     7
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       0     7          30           8               1         1           1     1       12  300.000838986  5.3897269179999965              5.6e-08            3.9e-07        9.264393306999994   171    5.146367816    1              1     0.03151627414659963    0.035591426303254826            7           343             0     170     0.9058823529411765     4.794117647058823              38312            37790       0             3             0     8
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       0     7          30           8               1         1           1     1       12  300.005196436   5.313739189999998              5.7e-08           4.77e-07        9.416158822999986   168    5.122129811    1              1    0.031088771873836497     0.03502473272698261            7           338             0     167     0.8862275449101796     4.778443113772455              38114            37602       0             3             0     9
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       0     7          30           8               1         1           1     1       12  300.001103675         5.274353818              5.3e-08           3.51e-07         9.25901331900003   169    5.288808338    1              1    0.031122745782431648    0.035168438309799564            7           339             0     168     0.9107142857142857     4.767857142857143              38339            37818       0             3             0    10
