
       instance    k  n_red    m_red      n        m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit    R  reltg_size  do_heu    ss  ss_gen_1st  ss_fin_1st  chroma_k_early  chroma_k  crit_early  crit    edges           time  time_pp  time_confirm_chroma  time_confirm_crit               time_color  iter            ttb  itb  max_iter_diff             ss_fin_avg             ss_gen_avg  ss_gen_best  num_size_att  heu_mistakes  num_pp  avg_pp_reduced  avg_pp_skipped  calls_to_coloring  num_gen_subsets  infeas  clique_start  color_not_ok  seed
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           0     1       12  300.006167497        0             4.41e-07        0.041234259        9.067173506000003   166   15.218494277    6              5    0.03456349945454062    0.03456349945454062            7           333             0     165               0               0              37418            37583       0             3             0     1
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           0     1       12  300.004482531        0             1.31e-07        0.055590334        9.224938391999986   173   17.988409915    9              8     0.0357697470586687     0.0357697470586687            7           348             0     172               0               0              37821            37993       0             3             0     2
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           0     1       12  300.000507436        0             1.42e-07        0.056125694         9.25556440300008   173   32.874775025   17             16   0.035856992639327026   0.035856992639327026            7           347             0     172               0               0              37868            38040       0             3             0     3
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           0     1       12  300.001607279        0              5.5e-08         0.04667277        9.181420023999992   171   12.410181749    4              3    0.03529720509119538    0.03529720509119538            7           343             0     170               0               0              37935            38105       0             3             0     4
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           0     1       12  300.004436341        0             4.96e-07        0.052441813        9.171266409999902   173   12.790471882    5              4   0.035908108962537544   0.035908108962537544            7           347             0     172               0               0              37786            37958       0             3             0     5
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           0     1       12  300.002945742        0              5.5e-08        0.052959744        9.203825819999922   173   47.682800337   27             26    0.03620113509786241    0.03620113509786241            7           347             0     172               0               0              37534            37706       0             3             0     6
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           0     1       12  300.004063201        0              5.7e-08        0.046151463        9.152296065999959   171    7.074703955    2              1    0.03534276158120671    0.03534276158120671            7           343             0     170               0               0              37801            37971       0             3             0     7
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           0     1       12  300.002016725        0             2.67e-07        0.057931699        9.243437606000008   178   13.297603259    5              4   0.036292300147130946   0.036292300147130946            7           357             0     177               0               0              38564            38741       0             3             0     8
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           0     1       12  300.007646162        0             2.69e-07        0.057545499        9.194017753999965   174    8.972288786    3              2    0.03535170413343002    0.03535170413343002            7           349             0     173               0               0              38439            38612       0             3             0     9
    1-FullIns_3    4     30      100     30      100            0.5                1                1                300  200        1.08       1     7          30           8               1         1           0     1       12  300.002512642        0              6.9e-08        0.058503654        9.068958206999973   174   13.290339339    6              5    0.03486586115093181    0.03486586115093181            7           349             0     173               0               0              38891            39064       0             3             0    10
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    20          93          22               1         1           0     0       77  300.002006858        0             4.01e-07        0.114433403        12.64555549600004   130   43.305559602   15             10    0.07072408640130418    0.07072408640130418           20           261             0     123               0               0              36682            36805       0             3             0     1
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    20          93          21               1         1           0     0       77  300.005263463        0              5.3e-08        0.105635735       12.558770602999976   129    14.86370579    2              1    0.06877288135593221    0.06877288135593221           20           254             0     120               0               0              36755            36875       0             3             0     2
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    20          93          22               1         1           0     0       77  300.005626377        0             6.31e-07        0.099338739        12.73385587800005   128   29.353625074    8              5    0.07224139790745335    0.07224139790745335           20           263             0     127               0               0              36957            37084       0             3             0     3
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    20          93          22               1         1           0     0       76  300.002366841        0              5.5e-08        0.108930691       12.637475983000051   133   20.324125369    4              2    0.06887342181935902    0.06887342181935902           20           260             0     120               0               0              36948            37068       0             3             0     4
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    20          93          21               1         1           0     0       77  300.004483369        0              5.5e-08        0.108170301       12.415358986999932   138   52.584548972   21             20    0.07256537536461798    0.07256537536461798           20           276             0     133               0               0              38949            39082       0             3             0     5
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    20          93          21               1         1           0     0       77  300.005026438        0              6.3e-08        0.122473965       12.444450174000027   138   15.999242109    3              2    0.06931281150737288    0.06931281150737288           20           271             0     127               0               0              38596            38723       0             3             0     6
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    20          93          21               1         1           0     0       77  300.003608387        0             2.54e-07        0.140718495        12.30927865199994   138   22.283803607    6              5    0.06822682268226822    0.06822682268226822           20           269             0     125               0               0              38760            38885       0             3             0     7
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    20          93          21               1         1           0     0       77  300.004245777        0             5.35e-07        0.131071041        12.17905842699994   134    15.87925741    2              1    0.07096352464374428    0.07096352464374428           20           267             0     128               0               0              38117            38245       0             3             0     8
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    19          93          21               1         1           0     0       71  300.002300786        0              5.5e-08        0.123232889        12.24276075499991   145   15.335591572    2              1    0.05121272779265344    0.05121272779265344           19           246             0      95               0               0              38372            38467       0             3             0     9
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    19          93          22               1         1           0     0       71  300.002320979        0             7.02e-07        0.124967353        12.23236412800003   139  169.777101939   72             61    0.06324492084604752    0.06324492084604752           19           261             0     115               0               0              38228            38343       0             3             0    10
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    57         282          60               1         1           0     0      419  300.005102323        0              5.4e-08        0.413997875       24.286230826999816   106  103.929561457   30             14    0.19929335370511841    0.19929335370511841           57           224             0     105               0               0              31311            31416       0             3             0     1
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    58         282          60               1         1           0     0      449  300.003213437        0             3.48e-07        0.566039996       21.369718856000162   125   18.913261169    2              1    0.19990255258100317    0.19990255258100317           58           262             0     124               0               0              36819            36943       0             3             0     2
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    58         282          60               1         1           0     0      449  300.004406581        0             4.22e-07        0.546695645       21.335388731999984   124   22.342710381    4              3      0.199267498643516      0.199267498643516           58           261             0     123               0               0              36737            36860       0             3             0     3
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    57         282          60               1         1           0     0      431  300.001561534        0             2.04e-07        0.495195605        21.30763430299994   122   66.409557641   19             17    0.19537079749274144    0.19537079749274144           57           255             0     121               0               0              36732            36853       0             3             0     4
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    58         282          61               1         1           0     0      452  300.005656351        0             2.35e-07        0.591366356       21.469247387000202   131   60.568997464   20             18    0.20969267778468526    0.20969267778468526           58           275             0     130               0               0              36867            36997       0             3             0     5
